scalar,RGB_r,RGB_g,RGB_b
0.0,0,0,0
0.015873015873,13,4,2
0.031746031746,22,8,4
0.047619047619,28,12,7
0.0634920634921,34,15,9
0.0793650793651,39,17,11
0.0952380952381,45,18,13
0.111111111111,51,20,15
0.126984126984,58,21,16
0.142857142857,64,23,18
0.15873015873,71,24,19
0.174603174603,77,25,20
0.190476190476,84,26,21
0.206349206349,91,27,22
0.222222222222,98,28,23
0.238095238095,105,29,24
0.253968253968,112,30,26
0.269841269841,119,30,27
0.285714285714,126,31,28
0.301587301587,133,32,29
0.31746031746,140,32,30
0.333333333333,148,32,31
0.349206349206,155,33,32
0.365079365079,162,33,33
0.380952380952,170,33,34
0.396825396825,176,36,35
0.412698412698,180,43,34
0.428571428571,184,50,33
0.444444444444,188,57,31
0.460317460317,192,63,30
0.47619047619,196,68,28
0.492063492063,199,74,27
0.507936507937,203,80,24
0.52380952381,207,85,22
0.539682539683,211,91,19
0.555555555556,215,96,15
0.571428571429,219,101,10
0.587301587302,222,107,5
0.603174603175,223,114,5
0.619047619048,224,121,4
0.634920634921,225,128,4
0.650793650794,226,135,4
0.666666666667,226,141,4
0.68253968254,227,148,3
0.698412698413,227,155,3
0.714285714286,228,161,3
0.730158730159,228,167,3
0.746031746032,229,174,4
0.761904761905,229,180,4
0.777777777778,229,186,4
0.793650793651,229,193,4
0.809523809524,229,199,5
0.825396825397,229,205,5
0.84126984127,229,211,6
0.857142857143,233,216,57
0.873015873016,237,220,85
0.888888888889,241,224,108
0.904761904762,244,228,130
0.920634920635,247,233,152
0.936507936508,250,237,173
0.952380952381,252,241,193
0.968253968254,253,246,214
0.984126984127,254,250,234
1.0,255,255,255
