scalar,RGB_r,RGB_g,RGB_b
0.0,0,0,0
0.00195694716243,1,0,2
0.00391389432485,3,1,5
0.00587084148728,4,1,7
0.00782778864971,5,2,10
0.00978473581213,6,2,12
0.0117416829746,8,2,14
0.013698630137,9,3,16
0.0156555772994,10,3,17
0.0176125244618,12,4,19
0.0195694716243,13,4,20
0.0215264187867,14,4,22
0.0234833659491,15,5,23
0.0254403131115,16,5,24
0.027397260274,17,6,26
0.0293542074364,18,6,27
0.0313111545988,18,6,28
0.0332681017613,19,7,29
0.0352250489237,20,7,31
0.0371819960861,21,8,32
0.0391389432485,21,8,33
0.041095890411,22,8,34
0.0430528375734,22,9,35
0.0450097847358,23,9,37
0.0469667318982,23,10,38
0.0489236790607,24,10,39
0.0508806262231,24,10,41
0.0528375733855,24,11,42
0.0547945205479,25,11,43
0.0567514677104,25,12,45
0.0587084148728,25,12,46
0.0606653620352,26,12,47
0.0626223091977,26,13,48
0.0645792563601,27,13,50
0.0665362035225,27,13,51
0.0684931506849,27,13,52
0.0704500978474,28,14,54
0.0724070450098,28,14,55
0.0743639921722,29,14,57
0.0763209393346,29,14,58
0.0782778864971,30,14,59
0.0802348336595,30,14,61
0.0821917808219,30,14,62
0.0841487279843,31,14,63
0.0861056751468,31,14,65
0.0880626223092,32,14,66
0.0900195694716,32,15,68
0.0919765166341,33,15,69
0.0939334637965,33,15,70
0.0958904109589,34,15,72
0.0978473581213,34,15,73
0.0998043052838,34,15,75
0.101761252446,35,15,76
0.103718199609,35,15,78
0.105675146771,36,15,79
0.107632093933,36,15,81
0.109589041096,37,15,82
0.111545988258,37,15,83
0.113502935421,37,15,85
0.115459882583,38,15,86
0.117416829746,38,15,88
0.119373776908,39,15,89
0.12133072407,39,15,91
0.123287671233,39,15,92
0.125244618395,40,15,94
0.127201565558,40,15,95
0.12915851272,41,15,97
0.131115459883,41,15,98
0.133072407045,41,15,100
0.135029354207,42,15,101
0.13698630137,42,15,103
0.138943248532,42,15,104
0.140900195695,43,15,106
0.142857142857,43,15,107
0.14481409002,44,15,109
0.146771037182,44,15,110
0.148727984344,44,15,112
0.150684931507,45,15,113
0.152641878669,45,15,115
0.154598825832,45,15,116
0.156555772994,46,15,118
0.158512720157,46,15,119
0.160469667319,47,14,121
0.162426614481,47,14,123
0.164383561644,47,14,124
0.166340508806,48,14,126
0.168297455969,48,14,127
0.170254403131,48,14,129
0.172211350294,49,14,130
0.174168297456,49,14,132
0.176125244618,49,14,134
0.178082191781,50,14,135
0.180039138943,50,13,137
0.181996086106,50,13,138
0.183953033268,51,13,140
0.185909980431,51,13,141
0.187866927593,51,13,143
0.189823874755,52,13,145
0.191780821918,52,12,146
0.19373776908,52,12,148
0.195694716243,53,12,149
0.197651663405,53,12,151
0.199608610568,53,12,153
0.20156555773,54,11,154
0.203522504892,54,11,156
0.205479452055,54,11,158
0.207436399217,55,11,159
0.20939334638,55,10,161
0.211350293542,55,10,162
0.213307240705,55,10,164
0.215264187867,56,10,166
