scalar,RGB_r,RGB_g,RGB_b
0.0,0,0,0
0.00195694716243,2,0,2
0.00391389432485,5,0,4
0.00587084148728,7,0,6
0.00782778864971,9,0,8
0.00978473581213,11,1,11
0.0117416829746,13,1,13
0.013698630137,15,1,15
0.0156555772994,17,1,17
0.0176125244618,18,1,18
0.0195694716243,20,1,20
0.0215264187867,21,1,22
0.0234833659491,22,1,23
0.0254403131115,24,1,25
0.027397260274,25,1,26
0.0293542074364,26,1,28
0.0313111545988,27,1,30
0.0332681017613,28,1,31
0.0352250489237,28,2,33
0.0371819960861,29,2,35
0.0391389432485,30,2,37
0.041095890411,30,2,38
0.0430528375734,31,2,40
0.0450097847358,31,2,42
0.0469667318982,32,2,44
0.0489236790607,32,2,46
0.0508806262231,33,2,48
0.0528375733855,33,2,49
0.0547945205479,34,2,51
0.0567514677104,34,3,53
0.0587084148728,34,3,55
0.0606653620352,35,3,57
0.0626223091977,35,3,58
0.0645792563601,35,3,60
0.0665362035225,36,3,62
0.0684931506849,36,3,63
0.0704500978474,36,3,65
0.0724070450098,36,3,67
0.0743639921722,36,3,68
0.0763209393346,37,3,70
0.0782778864971,37,3,71
0.0802348336595,37,3,73
0.0821917808219,37,4,74
0.0841487279843,38,4,76
0.0861056751468,38,4,77
0.0880626223092,38,4,78
0.0900195694716,38,4,80
0.0919765166341,38,4,81
0.0939334637965,39,4,83
0.0958904109589,39,4,84
0.0978473581213,39,4,85
0.0998043052838,39,4,87
0.101761252446,40,4,88
0.103718199609,40,4,89
0.105675146771,40,4,91
0.107632093933,41,4,92
0.109589041096,41,4,93
0.111545988258,41,5,95
0.113502935421,42,5,96
0.115459882583,42,5,97
0.117416829746,42,5,98
0.119373776908,43,5,99
0.12133072407,43,5,101
0.123287671233,44,5,102
0.125244618395,44,5,103
0.127201565558,44,5,104
0.12915851272,44,5,106
0.131115459883,44,5,108
0.133072407045,44,5,109
0.135029354207,44,5,111
0.13698630137,44,5,113
0.138943248532,44,5,115
0.140900195695,43,6,117
0.142857142857,42,6,120
0.14481409002,41,6,123
0.146771037182,39,6,126
0.148727984344,37,6,129
0.150684931507,35,6,133
0.152641878669,31,7,137
0.154598825832,26,7,141
0.156555772994,17,7,146
0.158512720157,7,9,149
0.160469667319,7,14,147
0.162426614481,7,17,144
0.164383561644,7,20,141
0.166340508806,7,23,139
0.168297455969,6,26,136
0.170254403131,6,28,133
0.172211350294,6,30,131
0.174168297456,6,32,128
0.176125244618,6,34,125
0.178082191781,6,36,123
0.180039138943,6,37,120
0.181996086106,6,39,118
0.183953033268,6,40,115
0.185909980431,5,41,113
0.187866927593,5,43,111
0.189823874755,5,44,108
0.191780821918,5,45,106
0.19373776908,5,46,104
0.195694716243,5,47,102
0.197651663405,5,48,100
0.199608610568,5,49,98
0.20156555773,5,50,96
0.203522504892,5,51,95
0.205479452055,4,52,93
0.207436399217,4,53,91
0.20939334638,4,53,89
0.211350293542,4,54,88
0.213307240705,4,55,86
0.215264187867,4,56,85
0.217221135029,4,56,84
0.219178082192,4,57,82
0.221135029354,4,58,81
0.223091976517,4,59,80
0.225048923679,4,59,79
0.227005870841,4,60,77
0.228962818004,4,61,76
0.230919765166,4,61,75
0.232876712329,4,62,74
0.234833659491,4,63,73
0.236790606654,3,63,72
0.238747553816,3,64,72
0.240704500978,3,64,71
0.242661448141,3,65,70
0.244618395303,3,66,69
0.246575342466,3,66,68
0.248532289628,3,67,68
0.250489236791,3,67,67
0.252446183953,3,68,66
0.254403131115,3,69,66
0.256360078278,3,69,65
0.25831702544,3,70,64
0.260273972603,3,70,63
0.262230919765,3,71,63
0.264187866928,3,71,62
0.26614481409,3,72,61
0.268101761252,3,73,60
0.270058708415,3,73,60
0.272015655577,4,74,59
0.27397260274,4,74,58
0.275929549902,4,75,57
0.277886497065,4,75,57
0.279843444227,4,76,56
0.281800391389,4,77,55
0.283757338552,4,77,54
0.285714285714,4,78,53
0.287671232877,4,78,52
0.289628180039,4,79,52
0.291585127202,4,79,51
0.293542074364,4,80,50
0.295499021526,4,81,49
0.297455968689,4,81,48
0.299412915851,4,82,47
0.301369863014,4,82,46
0.303326810176,4,83,45
0.305283757339,4,83,44
0.307240704501,4,84,43
0.309197651663,4,85,42
0.311154598826,4,85,41
0.313111545988,4,86,41
0.315068493151,4,86,40
0.317025440313,4,87,39
0.318982387476,4,87,38
0.320939334638,4,88,37
0.3228962818,4,89,35
0.324853228963,4,89,34
0.326810176125,4,90,33
0.328767123288,4,90,32
0.33072407045,4,91,31
0.332681017613,4,91,30
0.334637964775,4,92,29
0.336594911937,5,92,28
0.3385518591,5,93,27
0.340508806262,5,94,26
0.342465753425,5,94,25
0.344422700587,5,95,24
0.34637964775,5,95,23
0.348336594912,5,96,22
0.350293542074,5,96,21
0.352250489237,5,97,20
0.354207436399,5,97,19
0.356164383562,5,98,18
0.358121330724,5,98,17
0.360078277886,5,99,17
0.362035225049,5,100,16
0.363992172211,5,100,15
0.365949119374,5,101,15
0.367906066536,5,101,14
0.369863013699,5,102,14
0.371819960861,5,102,14
0.373776908023,5,103,13
0.375733855186,5,103,13
0.377690802348,5,104,13
0.379647749511,5,104,13
0.381604696673,5,105,13
0.383561643836,5,106,12
0.385518590998,5,106,12
0.38747553816,5,107,12
0.389432485323,5,107,11
0.391389432485,5,108,10
0.393346379648,5,108,10
0.39530332681,5,109,9
0.397260273973,5,109,8
0.399217221135,5,110,7
0.401174168297,5,110,5
0.40313111546,8,111,5
0.405088062622,11,111,5
0.407045009785,13,112,5
0.409001956947,16,112,5
0.41095890411,19,113,5
0.412915851272,21,113,5
0.414872798434,23,114,5
0.416829745597,26,114,5
0.418786692759,28,114,5
0.420743639922,30,115,6
0.422700587084,33,115,6
0.424657534247,35,116,6
0.426614481409,37,116,6
0.428571428571,39,116,6
0.430528375734,42,117,6
0.432485322896,44,117,6
0.434442270059,46,117,6
