scalar,RGB_r,RGB_g,RGB_b
0.0,0,0,0
0.00787401574803,9,0,8
0.0157480314961,17,1,16
0.0236220472441,23,1,22
0.0314960629921,27,1,28
0.0393700787402,31,2,34
0.0472440944882,34,2,40
0.0551181102362,36,2,46
0.0629921259843,38,2,52
0.0708661417323,40,3,57
0.0787401574803,42,3,62
0.0866141732283,43,3,67
0.0944881889764,45,3,73
0.102362204724,46,4,78
0.110236220472,48,4,84
0.11811023622,49,4,89
0.125984251969,50,5,95
0.133858267717,51,5,100
0.141732283465,52,5,106
0.149606299213,54,5,112
0.157480314961,55,6,117
0.165354330709,56,6,123
0.173228346457,58,6,128
0.181102362205,59,6,133
0.188976377953,61,7,138
0.196850393701,63,7,143
0.204724409449,64,7,149
0.212598425197,64,7,155
0.220472440945,64,8,163
0.228346456693,62,8,172
0.236220472441,57,9,184
0.244094488189,45,9,198
0.251968503937,18,14,213
0.259842519685,10,29,207
0.267716535433,10,40,199
0.275590551181,9,48,190
0.283464566929,9,55,182
0.291338582677,8,60,173
0.299212598425,8,66,166
0.307086614173,8,70,158
0.314960629921,7,74,151
0.322834645669,7,78,145
0.330708661417,7,81,139
0.338582677165,6,85,134
0.346456692913,6,88,129
0.354330708661,6,91,124
0.362204724409,6,94,120
0.370078740157,6,96,117
0.377952755906,6,99,113
0.385826771654,5,102,111
0.393700787402,5,104,108
0.40157480315,5,107,105
0.409448818898,5,109,103
0.417322834646,5,112,101
0.425196850394,5,114,98
0.433070866142,6,116,95
0.44094488189,6,119,93
0.448818897638,6,121,90
0.456692913386,6,124,87
0.464566929134,6,126,84
0.472440944882,6,129,81
0.48031496063,6,131,77
0.488188976378,7,134,74
0.496062992126,7,136,71
0.503937007874,7,139,67
0.511811023622,7,141,63
0.51968503937,7,143,59
0.527559055118,7,146,55
0.535433070866,7,148,51
0.543307086614,7,151,47
0.551181102362,8,153,43
0.55905511811,8,155,39
0.566929133858,8,158,36
0.574803149606,8,160,33
0.582677165354,8,163,30
0.590551181102,8,165,28
0.59842519685,8,167,27
0.606299212598,8,170,26
0.614173228346,8,172,25
0.622047244094,8,174,23
0.629921259843,9,177,21
0.637795275591,9,179,16
0.645669291339,12,182,9
0.653543307087,26,184,9
0.661417322835,38,186,9
0.669291338583,48,188,9
0.677165354331,58,189,9
0.685039370079,67,191,9
0.692913385827,76,193,9
0.700787401575,85,194,9
0.708661417323,94,196,9
0.716535433071,103,197,9
0.724409448819,112,198,10
0.732283464567,121,200,10
0.740157480315,130,201,10
0.748031496063,139,202,10
0.755905511811,147,203,10
0.763779527559,156,204,10
0.771653543307,165,204,10
0.779527559055,174,205,10
0.787401574803,182,206,10
0.795275590551,191,206,10
0.803149606299,199,206,10
0.811023622047,208,207,10
0.818897637795,218,207,11
0.826771653543,227,206,11
0.834645669291,238,206,11
0.842519685039,246,205,59
0.850393700787,248,206,106
0.858267716535,249,208,133
0.866141732283,250,210,152
0.874015748031,251,212,166
0.88188976378,251,214,177
0.889763779528,252,217,187
0.897637795276,252,219,195
0.905511811024,252,222,202
0.913385826772,253,224,208
0.92125984252,253,227,214
0.929133858268,253,230,219
0.937007874016,253,232,224
0.944881889764,254,235,228
0.952755905512,254,238,232
0.96062992126,254,241,237
0.968503937008,254,244,240
0.976377952756,254,247,244
0.984251968504,255,249,248
0.992125984252,255,252,251
1.0,255,255,255
