scalar,RGB_r,RGB_g,RGB_b
0.0,85,72,193
0.015873015873015872,90,79,199
0.031746031746031744,94,87,205
0.047619047619047616,98,94,211
0.06349206349206349,103,101,217
0.07936507936507936,107,108,222
0.09523809523809523,112,115,226
0.1111111111111111,116,121,231
0.12698412698412698,121,128,235
0.14285714285714285,125,135,239
0.15873015873015872,129,141,242
0.1746031746031746,134,147,245
0.19047619047619047,139,153,248
0.20634920634920634,143,159,250
0.2222222222222222,148,165,252
0.23809523809523808,152,170,254
0.25396825396825395,157,175,255
0.2698412698412698,161,180,255
0.2857142857142857,166,185,255
0.30158730158730157,170,190,255
0.31746031746031744,175,194,255
0.3333333333333333,179,198,254
0.3492063492063492,184,201,252
0.36507936507936506,188,205,251
0.38095238095238093,192,208,248
0.3968253968253968,197,211,246
0.4126984126984127,201,213,243
0.42857142857142855,205,215,240
0.4444444444444444,208,217,236
0.4603174603174603,212,219,232
0.47619047619047616,216,220,228
0.49206349206349204,219,220,223
0.5079365079365079,223,220,218
0.5238095238095237,226,218,212
0.5396825396825397,229,215,206
0.5555555555555556,232,212,200
0.5714285714285714,235,209,194
0.5873015873015872,237,206,188
0.6031746031746031,239,202,182
0.6190476190476191,241,198,175
0.6349206349206349,242,194,169
0.6507936507936507,243,189,162
0.6666666666666666,243,184,156
0.6825396825396826,243,179,150
0.6984126984126984,243,174,143
0.7142857142857142,243,168,137
0.7301587301587301,242,162,131
0.746031746031746,240,156,124
0.7619047619047619,239,149,118
0.7777777777777777,237,142,112
0.7936507936507936,235,136,106
0.8095238095238095,232,128,100
0.8253968253968254,229,121,94
0.8412698412698412,226,113,89
0.8571428571428571,222,106,83
0.873015873015873,218,97,78
0.8888888888888888,214,89,72
0.9047619047619047,210,80,67
0.9206349206349206,205,71,62
0.9365079365079365,200,62,57
0.9523809523809523,195,51,53
0.9682539682539681,189,40,48
0.9841269841269841,183,25,44
1.0,177,1,39
