scalar,RGB_r,RGB_g,RGB_b
0.0,72,0,84
0.03225806451612903,76,7,97
0.06451612903225806,78,20,107
0.0967741935483871,80,32,117
0.12903225806451613,80,43,124
0.16129032258064516,78,54,130
0.1935483870967742,76,64,135
0.22580645161290322,73,74,138
0.25806451612903225,70,83,140
0.29032258064516125,67,92,141
0.3225806451612903,63,100,142
0.3548387096774194,60,109,142
0.3870967741935484,56,117,142
0.4193548387096774,53,125,142
0.45161290322580644,49,132,142
0.4838709677419355,45,140,141
0.5161290322580645,41,148,139
0.5483870967741935,36,156,137
0.5806451612903225,33,164,134
0.6129032258064516,32,172,130
0.6451612903225806,37,179,124
0.6774193548387096,46,187,117
0.7096774193548387,59,194,109
0.7419354838709677,75,200,99
0.7741935483870968,94,206,88
0.8064516129032258,113,212,76
0.8387096774193548,134,217,62
0.8709677419354839,156,221,46
0.9032258064516129,179,225,29
0.9354838709677419,201,227,13
0.967741935483871,223,230,11
1.0,243,233,28
